MJD,RH
59221.943218,6.805
59221.067535,6.848
59221.661620,6.818
59221.457106,6.870
59221.608495,6.883
59221.689236,6.780
59221.816667,6.735
59221.217697,6.735
59221.856424,6.908
59221.781412,6.775
59222.970833,6.805
59222.421875,6.855
59222.087662,6.865
59222.479502,6.858
59222.343750,6.810
59222.081424,6.910
59222.852951,6.805
59222.235417,6.858
59222.704861,6.790
59222.586979,6.785
59222.330729,6.708
59222.197384,6.873
59222.276563,6.800
59222.588704,6.820
59222.306424,6.795
59222.652083,6.860
59222.940440,6.840
59222.064583,6.873
59222.658854,6.930
59222.454167,6.860
59222.605544,6.810
59222.686458,6.800
59222.813889,6.720
59222.214757,6.795
59222.853646,6.820
59222.778472,6.805
59223.967882,6.825
59223.418924,6.810
59223.084711,6.870
59223.476725,6.820
59223.340972,6.855
59223.078646,6.875
59223.850162,6.785
59223.232627,6.873
59223.702083,6.825
59223.584201,6.828
59223.327951,6.760
59223.194618,6.840
59223.273600,6.815
59223.585938,6.770
59223.303634,6.840
59223.649306,6.865
59223.937662,6.835
59223.061632,6.870
59223.655903,6.890
59223.451389,6.835
59223.602778,6.823
59223.683681,6.850
59223.811100,6.750
59223.211979,6.735
59223.850868,6.870
59223.775521,6.805
59224.965104,6.820
59224.415961,6.840
59224.081933,6.833
59224.473958,6.830
59224.338194,6.845
59224.075694,6.820
59224.847384,6.765
59224.229850,6.900
59224.699306,6.805
59224.581238,6.785
59224.325162,6.778
59224.191840,6.825
59224.270660,6.875
59224.583160,6.765
59224.300856,6.810
59224.646528,6.830
59224.934549,6.803
59224.058854,6.760
59224.653125,6.835
59224.448611,6.860
59224.600000,6.833
59224.680891,6.840
59224.808148,6.745
59224.209016,6.725
59224.848090,6.783
59224.772743,6.865
59225.962326,6.775
59225.413183,6.785
59225.079155,6.730
59225.471181,6.440
59225.072917,6.833
59225.844606,6.788
59225.227083,6.840
59225.578287,6.715
59225.322049,6.800
59225.189051,6.895
59225.267697,6.875
59225.580208,6.835
59225.297731,0.710
59225.056076,6.863
59225.650162,6.840
59225.597222,6.765
59225.805370,2.020
59225.206250,6.775
59226.959363,6.900
59226.410231,6.785
59226.076377,6.705
59226.468403,6.665
59226.332465,6.868
59226.069965,6.860
59226.841829,6.785
59226.223958,6.795
59226.693738,6.795
59226.575521,6.778
59226.319259,6.815
59226.186273,6.880
59226.264757,6.775
59226.577419,6.798
59226.294954,6.850
59226.640625,6.870
59226.928993,6.840
59226.053287,6.875
59226.647384,6.913
59226.442708,6.825
59226.594444,6.823
59226.675336,6.728
59226.802593,6.795
59226.203472,6.743
59226.842535,6.890
59226.766829,6.765
59227.956586,6.820
59227.407292,6.775
59227.073438,6.810
59227.329676,6.755
59227.067014,6.893
59227.839051,6.825
59227.221181,6.870
59227.572743,6.738
59227.316481,6.843
59227.183507,6.793
59227.261794,6.885
59227.574641,6.790
59227.292188,0.705
59227.926215,6.880
59227.050336,6.843
59227.644444,6.770
59227.439931,6.875
59227.591481,6.728
59227.672558,6.770
59227.799641,6.830
59227.200683,6.798
59227.839745,6.820
59227.764051,6.845
59228.953808,6.890
59228.404514,6.955
59228.070660,6.893
59228.326736,6.805
59228.064236,6.890
59228.836273,6.875
59228.218391,6.895
59228.687836,6.820
59228.569965,6.898
59228.313715,6.850
59228.180729,6.835
59228.258854,6.785
59228.571690,6.890
59228.289225,6.815
59228.635069,6.900
59228.923438,6.970
59228.047384,6.908
59228.641667,6.908
59228.437153,6.885
59228.588704,6.885
59228.669780,6.905
59228.796875,6.770
59228.197743,6.775
59228.836968,6.923
59228.761273,6.870
59229.951030,6.840
59229.401551,6.970
59229.067708,6.910
59229.460417,6.970
59229.323958,6.865
59229.061285,6.925
59229.833495,6.800
59229.215613,6.915
59229.685058,6.793
59229.566829,6.855
59229.310937,6.900
59229.177766,6.850
59229.255891,6.880
59229.568924,6.890
59229.286285,6.843
59229.632292,6.960
59229.920660,6.925
59229.044606,6.953
59229.638715,6.933
59229.434016,6.990
59229.585764,6.868
59229.667002,6.873
59229.794097,6.815
59229.194954,6.810
59229.834190,6.910
59229.758322,6.778
59230.948079,6.870
59230.398600,6.855
59230.064931,6.880
59230.457627,6.820
59230.321169,6.865
59230.058322,6.848
59230.830729,6.810
59230.212488,6.820
59230.682292,6.798
59230.564051,6.860
59230.308148,6.825
59230.175000,6.830
59230.252951,6.800
59230.566146,6.830
59230.283495,6.840
59230.629502,6.890
59230.917870,6.910
59230.041829,6.883
59230.635926,6.853
59230.431238,6.840
59230.582986,6.833
59230.664225,6.843
59230.791146,6.750
59230.192014,6.745
59230.831238,6.833
59230.755370,6.793
59231.945312,6.905
59231.395660,6.830
59231.062153,6.818
59231.454850,6.793
59231.318403,6.915
59231.055544,6.865
59231.827951,6.753
59231.209711,6.810
59231.679514,6.820
59231.561273,6.883
59231.305035,6.875
59231.172222,6.805
59231.250000,6.865
59231.563368,6.848
59231.280718,6.815
59231.626377,6.910
59231.915093,6.915
59231.038889,6.813
59231.633148,6.865
59231.428461,6.860
59231.580208,6.868
59231.661458,6.885
59231.788368,6.773
59231.189236,6.780
59231.828461,6.875
59231.752604,6.860
59232.942535,6.855
59232.392708,6.805
59232.059375,6.805
59232.452072,6.820
59232.315625,6.900
59232.052593,6.905
59232.825174,6.860
59232.206944,6.888
59232.676736,6.785
59232.558507,6.910
59232.302245,6.835
59232.169433,6.850
59232.247037,6.855
59232.560405,6.885
59232.277593,6.885
59232.623611,6.945
59232.912315,6.940
59232.035937,6.900
59232.630208,6.913
59232.425521,6.890
59232.577419,6.900
59232.658681,6.848
59232.785590,6.743
59232.186447,6.755
59232.825521,6.820
59232.749653,6.790
59233.939583,6.880
59233.389919,6.830
59233.056424,6.885
59233.449294,6.780
59233.312847,6.820
59233.049815,6.905
59233.822396,6.765
59233.204167,6.785
59233.673611,6.790
59233.555382,6.558
59233.299479,6.745
59233.166667,6.795
59233.244097,6.825
59233.557627,6.728
59233.274815,6.805
59233.620833,6.855
59233.909190,6.910
59233.033160,6.820
59233.627431,6.855
59233.422569,6.775
59233.574468,6.880
59233.655903,6.845
59233.782639,6.750
59233.183507,6.768
59233.822743,6.810
59233.746701,6.755
59234.386968,6.665
59234.053646,6.890
59234.446528,6.750
59234.309896,6.733
59234.046875,6.855
59234.201377,6.910
59234.670833,6.790
59234.552593,6.858
59234.296701,6.753
59234.163877,6.840
59234.241134,6.745
59234.554850,6.813
59234.272049,6.780
59234.618056,6.945
59234.906412,6.655
59234.030382,6.818
59234.624479,6.780
59234.419780,6.700
59234.571528,6.828
59234.652766,6.820
59234.180729,6.855
59234.743924,6.895
59236.931250,6.835
59236.381250,6.745
59236.047905,6.795
59236.441319,6.795
59236.304155,6.855
59236.041146,6.825
59236.814063,6.753
59236.195475,6.835
59236.665278,6.790
59236.547037,6.838
59236.291134,6.805
59236.158322,6.915
59236.235231,6.820
59236.549132,6.838
59236.266146,6.785
59236.612141,6.860
59236.900868,6.938
59236.024653,6.835
59236.618738,6.890
59236.414062,6.865
59236.565972,6.850
59236.647211,6.900
59236.774120,6.840
59236.175000,6.850
59236.814410,6.915
59236.738183,6.810
59237.928287,6.850
59237.378299,6.830
59237.045127,6.845
59237.438542,6.865
59237.301389,6.940
59237.038194,6.825
59237.811285,6.798
59237.192708,6.895
59237.662500,6.813
59237.543924,6.860
59237.288009,6.845
59237.155556,6.918
59237.232292,6.885
59237.546354,6.835
59237.263368,6.835
59237.609375,6.860
59237.898090,6.910
59237.021701,6.828
59237.615799,6.853
59237.411111,6.885
59237.563194,6.855
59237.644444,6.838
59237.771343,6.795
59237.172222,6.905
59237.811632,6.915
59237.735231,6.848
59238.925509,6.860
59238.375336,6.965
59238.042350,6.875
59238.435764,6.870
59238.298611,6.950
59238.035417,6.885
59238.808495,6.795
59238.189931,6.875
59238.659549,6.908
59238.541146,6.905
59238.285231,6.873
59238.152766,6.895
59238.229329,6.945
59238.543565,6.770
59238.260417,6.875
59238.606597,6.878
59238.018924,6.843
59238.613021,6.895
59238.408333,6.888
59238.560231,6.845
59238.641667,6.860
59238.768565,6.775
59238.169433,6.828
59238.808854,6.835
59238.732454,6.760
59239.922731,6.780
59239.372558,6.860
59239.039410,6.768
59239.432986,6.790
59239.295822,6.830
59239.032465,6.763
59239.805718,6.845
59239.186968,6.845
59239.656586,6.765
59239.538356,6.760
59239.282465,6.730
59239.149815,6.813
59239.226389,6.780
59239.540613,6.863
59239.257454,6.835
59239.603819,6.930
59239.892535,7.030
59239.016146,6.825
59239.610243,6.880
59239.405544,6.805
59239.557454,6.835
59239.638889,6.720
59239.765625,6.865
59239.166481,6.640
59239.806076,6.850
59239.729502,6.710
59240.919780,6.853
59240.369618,6.860
59240.036458,6.910
59240.430197,6.865
59240.293044,6.900
59240.029514,6.935
59240.802940,6.855
59240.184028,6.950
59240.653808,6.795
59240.535579,6.805
59240.279687,6.825
59240.147049,6.855
59240.223426,6.935
59240.537836,6.775
59240.254676,6.850
59240.601042,6.930
59240.889757,6.880
59240.013021,6.945
59240.607280,6.850
59240.402593,6.950
59240.554514,6.950
59240.636111,6.880
59240.762847,6.845
59240.163715,6.833
59240.803287,6.955
59240.726562,6.800
59241.917130,6.758
59241.366667,6.835
59241.033681,0.780
59241.427419,6.705
59241.290278,6.800
59241.026736,6.838
59241.800324,6.750
59241.181238,6.763
59241.651042,6.765
59241.532627,6.805
59241.276898,6.825
59241.144109,6.740
59241.220486,6.775
59241.535069,6.685
59241.251910,6.780
59241.597905,6.770
59241.886806,6.755
59241.011111,6.795
59241.604502,6.745
59241.399653,6.765
59241.552280,6.785
59241.633576,6.855
59241.760220,6.760
59241.160602,6.745
59241.800417,6.813
59241.723657,6.830
59242.914225,6.840
59242.363877,6.765
59242.031123,6.845
59242.424815,6.780
59242.287500,6.860
59242.023785,6.768
59242.797384,6.700
59242.178299,6.840
59242.648264,6.795
59242.529687,6.745
59242.273958,6.830
59242.141493,6.885
59242.217523,0.630
59242.532118,6.760
59242.248773,6.845
59242.595127,6.675
59242.883843,6.793
59242.601562,6.695
59242.396875,6.805
59242.549259,6.715
59242.630706,6.760
59242.757118,6.738
59242.157975,6.815
59242.797731,6.773
59242.720833,6.740
59243.911285,6.720
59243.360926,6.780
59243.028125,6.835
59243.422211,6.725
59243.284549,6.885
59243.020833,6.918
59243.794606,6.718
59243.175521,6.920
59243.645486,6.790
59243.526910,6.703
59243.270995,6.955
59243.138704,6.865
59243.214583,0.655
59243.529340,6.778
59243.246007,6.928
59243.592361,6.740
59243.881065,6.720
59243.598785,6.755
59243.394097,6.890
59243.546331,6.785
59243.627766,6.780
59243.754340,6.790
59243.155208,6.815
59243.794954,6.843
59243.717882,6.813
59244.908507,6.780
59244.357986,6.895
59244.025394,6.735
59244.419433,6.855
59244.281771,6.815
59244.018056,6.835
59244.791829,6.820
59244.172558,6.800
59244.642523,6.910
59244.524132,6.945
59244.268229,6.870
59244.135775,6.790
59244.211620,6.840
59244.526551,6.945
59244.243229,6.800
59244.589583,6.995
59244.878287,6.740
59244.595833,7.025
59244.390961,6.905
59244.543345,6.900
59244.625000,6.810
59244.751563,6.880
59244.152257,6.828
59244.792176,6.760
59244.715104,6.745
